Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-17,29348.1,29348.1,29348.1,29348.1,0,0,0
2020-01-21,29196.0,29196.0,29196.0,29196.0,0,0,0
2020-01-22,29186.3,29186.3,29186.3,29186.3,0,0,0
2020-01-23,29160.1,29160.1,29160.1,29160.1,0,0,0
2020-01-24,28989.7,28989.7,28989.7,28989.7,0,0,0
2020-01-27,28535.8,28535.8,28535.8,28535.8,0,0,0
2020-01-28,28722.8,28722.8,28722.8,28722.8,0,0,0
2020-01-29,28734.4,28734.4,28734.4,28734.4,0,0,0
2020-01-30,28859.4,28859.4,28859.4,28859.4,0,0,0
2020-01-31,28256.0,28256.0,28256.0,28256.0,0,0,0
2020-02-03,28399.8,28399.8,28399.8,28399.8,0,0,0
2020-02-04,28807.6,28807.6,28807.6,28807.6,0,0,0
2020-02-05,29290.9,29290.9,29290.9,29290.9,0,0,0
2020-02-06,29379.8,29379.8,29379.8,29379.8,0,0,0
2020-02-07,29102.5,29102.5,29102.5,29102.5,0,0,0
2020-02-10,29276.8,29276.8,29276.8,29276.8,0,0,0
2020-02-11,29276.3,29276.3,29276.3,29276.3,0,0,0
2020-02-12,29551.4,29551.4,29551.4,29551.4,0,0,0
2020-02-13,29423.3,29423.3,29423.3,29423.3,0,0,0
2020-02-14,29398.1,29398.1,29398.1,29398.1,0,0,0
2020-02-18,29232.2,29232.2,29232.2,29232.2,0,0,0
2020-02-19,29348.0,29348.0,29348.0,29348.0,0,0,0
2020-02-20,29220.0,29220.0,29220.0,29220.0,0,0,0
2020-02-21,28992.4,28992.4,28992.4,28992.4,0,0,0
2020-02-24,27960.8,27960.8,27960.8,27960.8,0,0,0
2020-02-25,27081.4,27081.4,27081.4,27081.4,0,0,0
2020-02-26,26957.6,26957.6,26957.6,26957.6,0,0,0
2020-02-27,25766.6,25766.6,25766.6,25766.6,0,0,0
2020-02-28,25409.4,25409.4,25409.4,25409.4,0,0,0
2020-03-02,26703.3,26703.3,26703.3,26703.3,0,0,0
2020-03-03,25917.4,25917.4,25917.4,25917.4,0,0,0
2020-03-04,27090.9,27090.9,27090.9,27090.9,0,0,0
2020-03-05,26121.3,26121.3,26121.3,26121.3,0,0,0
2020-03-06,25864.8,25864.8,25864.8,25864.8,0,0,0
2020-03-09,23851.0,23851.0,23851.0,23851.0,0,0,0
2020-03-10,25018.2,25018.2,25018.2,25018.2,0,0,0
2020-03-11,23553.2,23553.2,23553.2,23553.2,0,0,0
2020-03-12,21200.6,21200.6,21200.6,21200.6,0,0,0
2020-03-13,23185.6,23185.6,23185.6,23185.6,0,0,0
2020-03-16,20188.5,20188.5,20188.5,20188.5,0,0,0
2020-03-17,21237.4,21237.4,21237.4,21237.4,0,0,0
2020-03-18,19898.9,19898.9,19898.9,19898.9,0,0,0
2020-03-19,20087.2,20087.2,20087.2,20087.2,0,0,0
2020-03-20,19174.0,19174.0,19174.0,19174.0,0,0,0
2020-03-23,18591.9,18591.9,18591.9,18591.9,0,0,0
2020-03-24,20704.9,20704.9,20704.9,20704.9,0,0,0
2020-03-25,21200.6,21200.6,21200.6,21200.6,0,0,0
2020-03-26,22552.2,22552.2,22552.2,22552.2,0,0,0
2020-03-27,21636.8,21636.8,21636.8,21636.8,0,0,0
2020-03-30,22327.5,22327.5,22327.5,22327.5,0,0,0
2020-03-31,21917.2,21917.2,21917.2,21917.2,0,0,0
2020-04-01,20943.5,20943.5,20943.5,20943.5,0,0,0
2020-04-02,21413.4,21413.4,21413.4,21413.4,0,0,0
2020-04-03,21052.5,21052.5,21052.5,21052.5,0,0,0
2020-04-06,22680.0,22680.0,22680.0,22680.0,0,0,0
2020-04-07,22653.9,22653.9,22653.9,22653.9,0,0,0
2020-04-08,23433.6,23433.6,23433.6,23433.6,0,0,0
2020-04-09,23719.4,23719.4,23719.4,23719.4,0,0,0
2020-04-13,23390.8,23390.8,23390.8,23390.8,0,0,0
2020-04-14,23949.8,23949.8,23949.8,23949.8,0,0,0
2020-04-15,23504.3,23504.3,23504.3,23504.3,0,0,0
2020-04-16,23537.7,23537.7,23537.7,23537.7,0,0,0
2020-04-17,24242.5,24242.5,24242.5,24242.5,0,0,0
2020-04-20,23650.4,23650.4,23650.4,23650.4,0,0,0
2020-04-21,23018.9,23018.9,23018.9,23018.9,0,0,0
2020-04-22,23475.8,23475.8,23475.8,23475.8,0,0,0
2020-04-23,23515.3,23515.3,23515.3,23515.3,0,0,0
2020-04-24,23775.3,23775.3,23775.3,23775.3,0,0,0
2020-04-27,24133.8,24133.8,24133.8,24133.8,0,0,0
2020-04-28,24101.5,24101.5,24101.5,24101.5,0,0,0
2020-04-29,24633.9,24633.9,24633.9,24633.9,0,0,0
2020-04-30,24345.7,24345.7,24345.7,24345.7,0,0,0
2020-05-01,23723.7,23723.7,23723.7,23723.7,0,0,0
2020-05-04,23749.8,23749.8,23749.8,23749.8,0,0,0
2020-05-05,23883.1,23883.1,23883.1,23883.1,0,0,0
2020-05-06,23664.6,23664.6,23664.6,23664.6,0,0,0
2020-05-07,23875.9,23875.9,23875.9,23875.9,0,0,0
2020-05-11,24222.0,24222.0,24222.0,24222.0,0,0,0
2020-05-12,23764.8,23764.8,23764.8,23764.8,0,0,0
2020-05-13,23248.0,23248.0,23248.0,23248.0,0,0,0
2020-05-14,23625.3,23625.3,23625.3,23625.3,0,0,0
2020-05-15,23685.4,23685.4,23685.4,23685.4,0,0,0
2020-05-18,24597.4,24597.4,24597.4,24597.4,0,0,0
2020-05-19,24206.9,24206.9,24206.9,24206.9,0,0,0
2020-05-20,24575.9,24575.9,24575.9,24575.9,0,0,0
2020-05-21,24474.1,24474.1,24474.1,24474.1,0,0,0
2020-05-22,24465.2,24465.2,24465.2,24465.2,0,0,0
2020-05-26,24995.1,24995.1,24995.1,24995.1,0,0,0
2020-05-27,25548.3,25548.3,25548.3,25548.3,0,0,0
2020-05-28,25400.6,25400.6,25400.6,25400.6,0,0,0
2020-05-29,25383.1,25383.1,25383.1,25383.1,0,0,0
2020-06-01,25475.0,25475.0,25475.0,25475.0,0,0,0
2020-06-02,25742.7,25742.7,25742.7,25742.7,0,0,0
2020-06-03,26269.9,26269.9,26269.9,26269.9,0,0,0
2020-06-04,26281.8,26281.8,26281.8,26281.8,0,0,0
2020-06-08,27572.4,27572.4,27572.4,27572.4,0,0,0
2020-06-09,27272.3,27272.3,27272.3,27272.3,0,0,0
2020-06-10,26990.0,26990.0,26990.0,26990.0,0,0,0
2020-06-11,25128.2,25128.2,25128.2,25128.2,0,0,0
